objectID,title,artist,culture,period,medium,objectDate,department,primaryImageSmall,era_style,summary,themes,quality_flags,raw_quality_flags
438815,"Madame Georges Charpentier (Marguerite-Louise Lemonnier, 1848–1904) and Her Children, Georgette-Berthe (1872–1945) and Paul-Emile-Charles (1875–1895)",Auguste Renoir,,,Oil on canvas,1878,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-35674-001.jpg,Impressionism,"Renoir's 1878 portrait of Madame Charpentier and her children, showcasing domestic elegance and Impressionist brushwork.",Family;Bourgeois Life;Maternal Affection,,missing:culture;missing:period
436884,The Chess Players,Liberale da Verona,,,Tempera on wood,ca. 1475,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT226950.jpg,Early Renaissance,A tempera painting from 1475 depicting figures engaged in a game of chess.,leisure;strategy;social interaction,,missing:culture;missing:period
436885,Scene from a Novella,Liberale da Verona,,,Tempera on wood,,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT8310.jpg,Italian Renaissance,A tempera painting on wood by Liberale da Verona depicting a narrative scene from a novella.,Literature;Narrative;Renaissance Humanism,,missing:culture;missing:period;missing:objectDate
435848,The Birth of the Virgin,Fra Carnevale (Bartolomeo di Giovanni Corradini),,,Tempera and oil on wood,1467,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP109484.jpg,Early Renaissance,Fra Carnevale's 1467 tempera and oil panel depicting the Virgin Mary's birth with architectural detail.,Religious narrative;Renaissance architecture;Sacred birth,,missing:culture;missing:period
437056,"Tommaso di Folco Portinari (1428–1501); Maria Portinari (Maria Maddalena Baroncelli, born 1456)",Hans Memling,,,Oil on wood,ca. 1470,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT28_DT29.jpg,Early Netherlandish,"Hans Memling's paired portraits of a Florentine banker and his young wife, painted in oil on wood around 1470.",Portraiture;Marital Union;Burgundian Court Culture,,missing:culture;missing:period
435728,The Last Communion of Saint Jerome,Botticelli (Alessandro di Mariano Filipepi),,,Tempera and gold on wood,early 1490s,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-24049-001.jpg,Early Renaissance,Botticelli depicts Saint Jerome's final communion with delicate tempera and gold on wood.,religious devotion;saintly death;spiritual transition,,missing:culture;missing:period
435711,An Egyptian Peasant Woman and Her Child,Léon Bonnat,,,Oil on canvas,1869–70,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT234058.jpg,"Academic Art, Orientalism","Bonnat depicts an Egyptian mother and child with realistic detail, reflecting 19th-century European Orientalist interest.",Motherhood;Orientalism;Peasant Life,,missing:culture;missing:period
436102,Virgin and Child with Four Angels,Gerard David,,,Oil on wood,ca. 1510–15,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-1410-001.jpg,Northern Renaissance,"Gerard David's devotional panel depicting Mary and Christ child surrounded by angels, exemplifying Northern Renaissance detail and piety.",Religious Devotion;Divine Motherhood;Angelic Presence,,missing:culture;missing:period
838076,Virgin and Child Enthroned,Bohemian Painter,,,Oil(?) and gold on wood,ca. 1345–50,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-20592-001.jpg,Gothic,"Bohemian Gothic panel painting of the Virgin and Child with gold leaf, circa 1345-1350.",Divine Motherhood;Medieval Devotion;Royal Iconography,,missing:culture;missing:period
436098,The Crucifixion,Gerard David,,,Oil on wood,ca. 1495,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-17230-001.jpg,Northern Renaissance,"Gerard David's oil painting depicts Christ's crucifixion with detailed figures and landscape, created around 1495.",Religious Narrative;Sacrifice;Human Suffering,,missing:culture;missing:period
