title,dates,location,description,url,audience_takeaway,buzz_summary,similarity_cluster,data_flags,raw_quality_flags
Man Ray: When Objects Dream - The Metropolitan Museum of Art,"Through February 1, 2026",The Met Fifth Avenue,"American artist Man Ray (1890–1976) was a visionary known for his radical experiments that pushed the limits of photography, painting, sculpture, and film.",https://www.metmuseum.org/exhibitions/man-ray-when-objects-dream,"Visitors will explore Man Ray's boundary-pushing experiments across photography, painting, sculpture, and film, gaining insight into his surreal and innovative artistic vision.","A deep dive into Man Ray's radical, multi-medium experiments at The Met.","Modernist photography, surrealism, avant-garde art exhibitions",long_run;major_museum;artist_retrospective,
Superfine: Tailoring Black Style - The Metropolitan Museum of Art,,The Met Fifth Avenue,Superfine: Tailoring Black Style presents a cultural and historical examination of Black style over three hundred years through the concept of dandyism.,https://www.metmuseum.org/exhibitions/superfine-tailoring-black-style,"Visitors will gain insight into the evolution of Black style and dandyism, exploring its cultural significance and historical impact over three centuries.",A deep dive into 300 years of Black dandyism and sartorial elegance at The Met.,"Fashion history, cultural identity, African American studies",missing_dates,missing:dates
"The Roof Garden Commission: Jennie C. Jones, Ensemble - The Metropolitan Museum of Art",,The Met Fifth Avenue,"For the 2025 Roof Garden Commission, Jennie C. Jones presents Ensemble, acoustic sculptures exploring sound, form, and the continuity of art history.",https://www.metmuseum.org/exhibitions/the-roof-garden-commission-jennie-c-jones,"Visitors will experience a unique fusion of sound and sculpture, reflecting on the evolution of art through interactive acoustic installations.",Jennie C. Jones' acoustic sculptures blend sound and art history on The Met's rooftop.,Contemporary outdoor sculpture and sound art installations,dates_missing,missing:dates
"Recasting the Past: The Art of Chinese Bronzes, 1100–1900 - The Metropolitan Museum of Art",,The Met Fifth Avenue,"This exhibit reexamines 12th–19th century Chinese bronzes, once seen as imitations, revealing their unique artistry through 200 works from global collections.",https://www.metmuseum.org/exhibitions/recasting-the-past-the-art-of-chinese-bronzes-1100-1900,"Visitors will gain a new appreciation for later Chinese bronzes as original artistic achievements, not mere copies, through a rich display of 200 objects.",Reveals the overlooked artistry of 12th–19th century Chinese bronzes in a major collection.,"Reevaluating historical art periods, Asian decorative arts, museum collection reinterpretations",missing_dates,missing:dates
Allegory and Abstraction: Selections from the Department of Drawings and Prints - The Metropolitan Museum of Art,,The Met Fifth Avenue,"The exhibition highlights how artists like Matisse, Bourgeois, and others used allegory and abstraction to convey emotion, narrative, and layered meaning.",https://www.metmuseum.org/exhibitions/allegory-and-abstraction-selections-from-the-department-of-drawings-and-prints,"Visitors will explore how artists use allegory and abstraction to express complex emotions and narratives through drawings and prints, deepening their understanding of artistic techniques and symbolic communication.",Matisse and Bourgeois reveal emotion and meaning through allegory and abstraction in Met drawings.,"Modern art, symbolism, drawing techniques, emotional expression",missing_dates,missing:dates
"The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am - The Metropolitan Museum of Art","Through June 9, 2026",The Met Fifth Avenue,Acclaimed artist Jeffrey Gibson (born 1972) invites reflection on the interconnected relationships between all living beings and the environment.,https://www.metmuseum.org/exhibitions/the-facade-commission-jeffrey-gibson,"Visitors will reflect on the interconnectedness of all living beings and the environment through Gibson's vibrant, thought-provoking facade installation.","Vibrant, thought-provoking facade commission exploring interconnectedness of life and environment.",Contemporary public art installations with environmental and indigenous themes,long_duration;prominent_location;living_artist,
Witnessing Humanity: The Art of John Wilson - The Metropolitan Museum of Art,"Through February 8, 2026",The Met Fifth Avenue,"The exhibition features over 100 artworks made over the course of Wilson’s career, many of which have not been shown before.",https://www.metmuseum.org/exhibitions/witnessing-humanity-the-art-of-john-wilson,"Visitors will gain insight into the career and artistic evolution of John Wilson through a comprehensive collection of over 100 works, many previously unseen, highlighting his contributions to art and humanity.","Major retrospective of John Wilson with 100+ works, many new to the public.","Solo artist retrospective, modern American art, social commentary themes",extended_run;exclusive_content;major_institution,
The Magic of Marbling: The Art of Karli Frigge - The Metropolitan Museum of Art,,The Met Fifth Avenue,"Karli Frigge (b. 1943), a leading paper marbler, created innovative works (1960–2000). This exhibit showcases her sample books, guides, and publications.",https://www.metmuseum.org/exhibitions/the-magic-of-marbling-the-art-of-karli-frigge,"Visitors will discover the intricate art of paper marbling through Karli Frigge's innovative works, sample books, and guides, gaining appreciation for this unique craft.",Showcases Karli Frigge's pioneering paper marbling works and publications.,Paper arts and craft exhibitions,missing_dates,missing:dates
P. S. Art 2025: Celebrating the Creative Spirit of New York City Kids - The Metropolitan Museum of Art,,The Met Fifth Avenue,P. S. Art is an annual celebration of the artistic achievement of remarkable New York City Public School students and their dedicated art teachers.,https://www.metmuseum.org/exhibitions/p-s-art-2025-celebrating-the-creative-spirit-of-new-york-city-kids,"An inspiring showcase of young artistic talent, highlighting the creativity and dedication of NYC public school students and their teachers.",Annual exhibition celebrating NYC public school student art and teacher dedication.,"Youth art showcases, student exhibitions, community art programs",missing_dates,missing:dates
Baseball Cards from the Collection of Jefferson R. Burdick - The Metropolitan Museum of Art,"Through January 20, 2026",The Met Fifth Avenue,"The Jefferson R. Burdick collection at The Met features 100+ historic baseball cards from the 19th century to the 1950s, showcasing legends and varied styles.",https://www.metmuseum.org/exhibitions/baseball-cards-from-the-collection-of-jefferson-r-burdick-2025,"Visitors will gain an appreciation for the history of baseball through rare cards, learn about collecting culture, and see the evolution of sports memorabilia design.","Historic baseball cards from the 1800s to 1950s, featuring legends and diverse styles.","Sports memorabilia, historical collections, American culture exhibitions",long-term exhibition;specific collector focus;niche sports history,
