exhibition_title,objectID,match_score
Man Ray: When Objects Dream - The Metropolitan Museum of Art,437875,0.167
Man Ray: When Objects Dream - The Metropolitan Museum of Art,437423,0.167
Superfine: Tailoring Black Style - The Metropolitan Museum of Art,437423,0.167
"The Roof Garden Commission: Jennie C. Jones, Ensemble - The Metropolitan Museum of Art",437423,0.167
"Recasting the Past: The Art of Chinese Bronzes, 1100–1900 - The Metropolitan Museum of Art",437423,0.167
Allegory and Abstraction: Selections from the Department of Drawings and Prints - The Metropolitan Museum of Art,436301,0.235
Allegory and Abstraction: Selections from the Department of Drawings and Prints - The Metropolitan Museum of Art,436282,0.19
Allegory and Abstraction: Selections from the Department of Drawings and Prints - The Metropolitan Museum of Art,436885,0.167
Allegory and Abstraction: Selections from the Department of Drawings and Prints - The Metropolitan Museum of Art,435848,0.167
Allegory and Abstraction: Selections from the Department of Drawings and Prints - The Metropolitan Museum of Art,437423,0.167
"The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am - The Metropolitan Museum of Art",435711,0.214
"The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am - The Metropolitan Museum of Art",435868,0.188
"The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am - The Metropolitan Museum of Art",437423,0.167
"The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am - The Metropolitan Museum of Art",436038,0.158
"The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am - The Metropolitan Museum of Art",436838,0.154
Witnessing Humanity: The Art of John Wilson - The Metropolitan Museum of Art,437423,0.167
Witnessing Humanity: The Art of John Wilson - The Metropolitan Museum of Art,436038,0.158
Witnessing Humanity: The Art of John Wilson - The Metropolitan Museum of Art,436884,0.154
The Magic of Marbling: The Art of Karli Frigge - The Metropolitan Museum of Art,435711,0.214
The Magic of Marbling: The Art of Karli Frigge - The Metropolitan Museum of Art,437423,0.167
P. S. Art 2025: Celebrating the Creative Spirit of New York City Kids - The Metropolitan Museum of Art,435844,0.182
P. S. Art 2025: Celebrating the Creative Spirit of New York City Kids - The Metropolitan Museum of Art,437423,0.167
Baseball Cards from the Collection of Jefferson R. Burdick - The Metropolitan Museum of Art,437423,0.167
Casa Susanna - The Metropolitan Museum of Art,437423,0.167
The Magical City: George Morrison’s New York - The Metropolitan Museum of Art,437423,0.167
Emily Sargent: Portrait of a Family - The Metropolitan Museum of Art,436038,0.211
Emily Sargent: Portrait of a Family - The Metropolitan Museum of Art,437875,0.167
Emily Sargent: Portrait of a Family - The Metropolitan Museum of Art,437423,0.167
Making It Modern: European Ceramics from the Martin Eidelberg Collection - The Metropolitan Museum of Art,435851,0.214
Making It Modern: European Ceramics from the Martin Eidelberg Collection - The Metropolitan Museum of Art,436299,0.188
Making It Modern: European Ceramics from the Martin Eidelberg Collection - The Metropolitan Museum of Art,435848,0.167
Making It Modern: European Ceramics from the Martin Eidelberg Collection - The Metropolitan Museum of Art,437423,0.167
Making It Modern: European Ceramics from the Martin Eidelberg Collection - The Metropolitan Museum of Art,436884,0.154
Iba Ndiaye: Between Latitude and Longitude - The Metropolitan Museum of Art,437423,0.167
Lorna Simpson: Source Notes - The Metropolitan Museum of Art,435711,0.214
Lorna Simpson: Source Notes - The Metropolitan Museum of Art,436282,0.19
Lorna Simpson: Source Notes - The Metropolitan Museum of Art,437423,0.167
Lorna Simpson: Source Notes - The Metropolitan Museum of Art,436884,0.154
Celebrating the Year of the Snake - The Metropolitan Museum of Art,437423,0.167
Colorful Korea: The Lea R. Sneider Collection - The Metropolitan Museum of Art,437423,0.167
Afterlives: Contemporary Art in the Byzantine Crypt - The Metropolitan Museum of Art,435711,0.214
Afterlives: Contemporary Art in the Byzantine Crypt - The Metropolitan Museum of Art,437423,0.167
Afterlives: Contemporary Art in the Byzantine Crypt - The Metropolitan Museum of Art,436038,0.158
The Jousting Armor of Philip I of Castile - The Metropolitan Museum of Art,435851,0.214
The Jousting Armor of Philip I of Castile - The Metropolitan Museum of Art,435725,0.2
The Jousting Armor of Philip I of Castile - The Metropolitan Museum of Art,436282,0.19
The Jousting Armor of Philip I of Castile - The Metropolitan Museum of Art,838076,0.188
The Jousting Armor of Philip I of Castile - The Metropolitan Museum of Art,437216,0.176
Ganesha: Lord of New Beginnings - The Metropolitan Museum of Art,437457,0.267
Ganesha: Lord of New Beginnings - The Metropolitan Museum of Art,437423,0.25
Ganesha: Lord of New Beginnings - The Metropolitan Museum of Art,436299,0.25
Ganesha: Lord of New Beginnings - The Metropolitan Museum of Art,437216,0.235
Ganesha: Lord of New Beginnings - The Metropolitan Museum of Art,439327,0.231
A Passion for Jade: The Bishop Collection - The Metropolitan Museum of Art,435851,0.214
A Passion for Jade: The Bishop Collection - The Metropolitan Museum of Art,437423,0.167
"Embracing Color: Enamel in Chinese Decorative Arts, 1300–1900 - The Metropolitan Museum of Art",437423,0.167
Arts of Oceania - The Metropolitan Museum of Art,437423,0.167
Arts of the Ancient Americas - The Metropolitan Museum of Art,437423,0.167
Arts of Africa - The Metropolitan Museum of Art,437423,0.167
Arts of Africa - The Metropolitan Museum of Art,436038,0.158
Defensive Display: Shields from The Met Collection - The Metropolitan Museum of Art,437423,0.167
The American Wing at 100 - The Metropolitan Museum of Art,437423,0.167
The Calculated Curve: Eighteenth-Century American Furniture - The Metropolitan Museum of Art,437423,0.167
Cycladic Art - The Metropolitan Museum of Art,437423,0.167
