objectID,title,artist,culture,period,medium,objectDate,department,primaryImageSmall
438815,"Madame Georges Charpentier (Marguerite-Louise Lemonnier, 1848–1904) and Her Children, Georgette-Berthe (1872–1945) and Paul-Emile-Charles (1875–1895)",Auguste Renoir,,,Oil on canvas,1878,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-35674-001.jpg
436884,The Chess Players,Liberale da Verona,,,Tempera on wood,ca. 1475,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT226950.jpg
436885,Scene from a Novella,Liberale da Verona,,,Tempera on wood,,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT8310.jpg
435848,The Birth of the Virgin,Fra Carnevale (Bartolomeo di Giovanni Corradini),,,Tempera and oil on wood,1467,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP109484.jpg
437056,"Tommaso di Folco Portinari (1428–1501); Maria Portinari (Maria Maddalena Baroncelli, born 1456)",Hans Memling,,,Oil on wood,ca. 1470,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT28_DT29.jpg
435728,The Last Communion of Saint Jerome,Botticelli (Alessandro di Mariano Filipepi),,,Tempera and gold on wood,early 1490s,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-24049-001.jpg
435711,An Egyptian Peasant Woman and Her Child,Léon Bonnat,,,Oil on canvas,1869–70,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT234058.jpg
436102,Virgin and Child with Four Angels,Gerard David,,,Oil on wood,ca. 1510–15,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-1410-001.jpg
838076,Virgin and Child Enthroned,Bohemian Painter,,,Oil(?) and gold on wood,ca. 1345–50,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-20592-001.jpg
436098,The Crucifixion,Gerard David,,,Oil on wood,ca. 1495,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-17230-001.jpg
